name;directedBy;premiere;maleActor;femaleActor
Bláznova kronika;K. Zeman;1964;J. Budin;E. Senková
Na komete;K. Zeman;1970;H. Bor;Z. Bronislavská
Bound;L. Wachowski;1996;J. Pantoliano;G. Gershon
The Matrix;L. Wachowski;1999;K. Reeves;C. Moss
The Matrix Reloaded;L. Wachowski;2003;K. Reeves;J. Smith
Cloud Atlas;L. Wachowski;2012;S. Arndt;D. Bae
House of 1000 Corpses;R. Zombie;2003;C. Bannon;K. Black
Halloween;R. Zombie;2007;M. McDowell;S. Danning
The Devil's Rejects;R. Zombie;2005;W. Forsythe;P. Soles
Grindhouse;R. Zombie;2007;N. Andrews;R. McGowan
The Rock;M. Bay;1996;N. Cage;V. Marcil
Armageddon;M. Bay;1998;J. Denver;L. Tyler
Transformers: Revenge of the Fallen;M. Bay;2009;B. Bray;G. Griffin
Transformers: Age of Extinction;M. Bay;2014;K. Grammer;J. Haselbarth
The Shawshank Redemption;F. Darabont;1994;S. King;G. Janowitz
The Green Mile;F. Darabont;1999;S. King;B. Hunt
The Mist;F. Darabont;2007;J. Cedillo;M. Harden
The Walking Dead;F. Darabont;2010;N. Reedus;D. Abernathy
Ball Lightning;L. Smoljak;1979;B. Halmi;A. Korytová
Jára Cimrman Lying, Sleeping;L. Smoljak;1983;P. Brukner;L. Drevikovská
Dissolved and Effused;L. Smoljak;1985;M. Konecný;M. Ebrová
An Uncertain Season;L. Smoljak;1988;P. Capek;D. Fialková
Breaking the Waves;L. Trier;1996;R. Müller;K. Cartlidge
Dancer in the Dark;L. Trier;2000;J. Grey;C. Deneuve
Dogville;L. Trier;2003;U. Andersson;H. Chant
Melancholia;L. Trier;2011;J. Cagnard;C. Gainsbourg
